business_id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24
N9BN9ldVl1FNzcB9_eAstw,Bowling,Active Life,,,,,,,,,,,,,,,,,,,,,,
BmSJ6C7Y9s3tHotRetVbmA,Financial Services,Banks & Credit Unions,,,,,,,,,,,,,,,,,,,,,,
xmY0pzNvZKEzuN0XEqeV5w,Massage,Beauty & Spas,Reflexology,Health & Medical,,,,,,,,,,,,,,,,,,,,
aj1C0D7hniEPpsTidbCQIg,Auto Insurance,Body Shops,Auto Repair,Insurance,Automotive,Financial Services,,,,,,,,,,,,,,,,,,
45arahaS6jTtYBw_STLDXg,Financial Services,Banks & Credit Unions,,,,,,,,,,,,,,,,,,,,,,
LDMCrFlGIFUN6L-FEFgzWg,Restaurants,American (Traditional),Mexican,Fast Food,,,,,,,,,,,,,,,,,,,,
QTH_XGh4rWYdd0fTW-tUDw,Mexican,Restaurants,,,,,,,,,,,,,,,,,,,,,,
fIWozPW-2wRknzsDqdgyjg,Local Services,Shipping Centers,,,,,,,,,,,,,,,,,,,,,,
9TfpnjAKFtP1u3C3eIFQ5Q,Arts & Entertainment,Shopping,Arts & Crafts,Art Galleries,Framing,,,,,,,,,,,,,,,,,,,
DiA78qPtp6rfRNdomzjBbw,Chinese,Food,Convenience Stores,Restaurants,,,,,,,,,,,,,,,,,,,,
YTqtM2WFhcMZGeAGA08Cfg,Seafood,Restaurants,Specialty Food,Ethnic Food,Food,Mexican,,,,,,,,,,,,,,,,,,
Oto60yDwk1z72WmfWEYrjg,Food,Restaurants,Mexican,,,,,,,,,,,,,,,,,,,,,
vMRWkz0wb3g4HjW_OeAppA,Home Services,Real Estate,,,,,,,,,,,,,,,,,,,,,,
dRAla9mt2a3-nF1D26VU2A,Shopping,Drugstores,,,,,,,,,,,,,,,,,,,,,,
jzdIJnpn1_H6fgKNHFsSSg,Health & Medical,Doctors,,,,,,,,,,,,,,,,,,,,,,
mAK6DD0pEOOdQzj08gWW5g,Auto Parts & Supplies,Automotive,,,,,,,,,,,,,,,,,,,,,,
PFmB_iraAbTN9XMka7soqQ,Health & Medical,Cosmetic Dentists,General Dentistry,Dentists,Orthodontists,,,,,,,,,,,,,,,,,,,
_H2WDe7geFWVqUyWxMfQ3w,Photography Stores & Services,Shopping,,,,,,,,,,,,,,,,,,,,,,
81sJG9LJ9ahscSNBUYYUGw,Hair Salons,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
e-H6-qd340BwYTnlntYyJg,Home Decor,Jewelry,Home & Garden,Shopping,,,,,,,,,,,,,,,,,,,,
wCRMScBQJY8zES16j0Hn6Q,Private Investigation,Professional Services,Security Services,,,,,,,,,,,,,,,,,,,,,
XXcENxZvgy_DvuCVwC1vQQ,Masonry/Concrete,Building Supplies,Home Services,,,,,,,,,,,,,,,,,,,,,
UXUMRPkaW22aNV5C7e4Uvw,Cosmetic Dentists,Health & Medical,Dentists,General Dentistry,Endodontists,,,,,,,,,,,,,,,,,,,
TeYdiBSLV_z2TXMfWtGncg,Doctors,Endocrinologists,Internal Medicine,Health & Medical,,,,,,,,,,,,,,,,,,,,
vPO6DqPOBL5faHKYFNrRfA,Auto Glass Services,Automotive,Home Window Tinting,Home Services,,,,,,,,,,,,,,,,,,,,
Gcv-LPo8EF_9EDBWt_4XmA,Local Services,Electronics,Toy Stores,IT Services & Computer Repair,Hobby Shops,Shopping,,,,,,,,,,,,,,,,,,
VAfgvEz3--36TiZMH8ZIIQ,Professional Services,Education,Specialty Schools,,,,,,,,,,,,,,,,,,,,,
EMOm1OaQ8W1ptTGpwQa-JQ,Auto Customization,Tires,Automotive,Car Stereo Installation,,,,,,,,,,,,,,,,,,,,
z_h0kBcW9-c2084w_LguAQ,Laundry Services,Dry Cleaning & Laundry,Local Services,,,,,,,,,,,,,,,,,,,,,
wnUayfTIBc_E9gNTylptTw,Photographers,Videographers,Event Planning & Services,Video/Film Production,Event Photography,Professional Services,,,,,,,,,,,,,,,,,,
mUk-0jToBuzk4KaDXp-uew,Indian,Pakistani,Restaurants,,,,,,,,,,,,,,,,,,,,,
pUefPUl0plnvk90r_00DOw,Wedding Planning,Event Planning & Services,Venues & Event Spaces,,,,,,,,,,,,,,,,,,,,,
1CP8aJa8ILlfM5deroar0Q,Chicken Wings,American (New),Restaurants,,,,,,,,,,,,,,,,,,,,,
Ig6Zev2Eh-lXPwZVyQOi-A,Septic Services,Contractors,Home Services,Water Heater Installation/Repair,Local Services,Plumbing,,,,,,,,,,,,,,,,,,
gduTP-ujJ89tWOSdb3WMPA,Donuts,Food,,,,,,,,,,,,,,,,,,,,,,
BwLIgDrI9mKgkS813m5mlA,Limos,Hotels & Travel,Transportation,,,,,,,,,,,,,,,,,,,,,
_wnAPt7ehpybzQptYKNHxQ,Bars,Nightlife,Pubs,,,,,,,,,,,,,,,,,,,,,
DIumS3PWQkWCj9PpSgbKSQ,Local Services,Sewing & Alterations,,,,,,,,,,,,,,,,,,,,,,
ZGqg8QpWN89PyTOfF-LP6A,Fitness & Instruction,Yoga,Active Life,Medical Spas,Skin Care,Health & Medical,Day Spas,Beauty & Spas,,,,,,,,,,,,,,,,
TYGVaav4hWZioQlk9Ig78A,Restaurants,Barbeque,,,,,,,,,,,,,,,,,,,,,,
Wbi-x-1Nbn6LFCMOSN6F5Q,Restaurants,Mexican,,,,,,,,,,,,,,,,,,,,,,
W-3Sy3fy85mQdd0ZNFKIiw,Sports Bars,Nightlife,Burgers,Bars,American (Traditional),Restaurants,Food,,,,,,,,,,,,,,,,,
28s2GZYTehHb1ftgzzvKow,Hair Salons,Beauty & Spas,,,,,,,,,,,,,,,,,,,,,,
8z6wRDPB3XgqFKV6IY5IrA,Local Services,Printing Services,Notaries,Shipping Centers,,,,,,,,,,,,,,,,,,,,
v-sFF0zhcCB7Afhem1tMWw,Fences & Gates,Contractors,Home Services,,,,,,,,,,,,,,,,,,,,,
rihKlAiPgJa5XcpZ1h9-bw,Fast Food,Chicken Wings,Restaurants,,,,,,,,,,,,,,,,,,,,,
ohRIFrlyLy3GVRgiz3pLnQ,Electronics,Shopping,,,,,,,,,,,,,,,,,,,,,,
rx3K_nuvP5HR5j0eays2Sw,Home Cleaning,Carpet Cleaning,Local Services,Home Services,,,,,,,,,,,,,,,,,,,,
Oa6ICL2LhQsaKMxaFVzrNA,Discount Store,Men's Clothing,Accessories,Fashion,Women's Clothing,Home Decor,Shopping,Department Stores,Home & Garden,,,,,,,,,,,,,,,
ELdtv4Wog_JR_egzLWVcfQ,Health & Medical,Tattoo Removal,Doctors,,,,,,,,,,,,,,,,,,,,,
