business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count
N9BN9ldVl1FNzcB9_eAstw,Red Rock Bowling UYE Part 2,Summerlin,11022 W Charleston Blvd,Las Vegas,NV,89135,36.1590984,-115.3379148,4.5,13
BmSJ6C7Y9s3tHotRetVbmA,U.S. Bank,Southeast,2385 E Windmill Ln,Las Vegas,NV,89123,36.0404133,-115.119104,3.5,3
xmY0pzNvZKEzuN0XEqeV5w,QQ Foot Spa,,6162 W Flamingo Rd,Las Vegas,NV,89103,36.115465,-115.226764,4.5,20
aj1C0D7hniEPpsTidbCQIg,Express Collision Center,,4755 W Flamingo Rd,Las Vegas,NV,89103,36.115074,-115.2056,5.0,54
45arahaS6jTtYBw_STLDXg,Wells Fargo Bank,Summerlin,9410 W Lake Mead Blvd,Las Vegas,NV,89134,36.206763,-115.3007233,2.5,4
LDMCrFlGIFUN6L-FEFgzWg,El Pollo Loco,,2400 E Lake Mead Blvd,Las Vegas,NV,89030,36.1962026,-115.1167987,3.0,12
QTH_XGh4rWYdd0fTW-tUDw,Baja Fresh Mexican Grill,Spring Valley,4190 S Rainbow Blvd,Las Vegas,NV,89103,36.1125192,-115.2426053,3.5,7
fIWozPW-2wRknzsDqdgyjg,Box Brothers,Southeast,3827 E Sunset Rd,Las Vegas,NV,89120,36.0706724,-115.0912381,5.0,12
9TfpnjAKFtP1u3C3eIFQ5Q,Randall's Fine Art & Custom Framing,Chinatown,"3585 S Decatur Blvd, Ste C",Las Vegas,NV,89103,36.1245825,-115.2086713,4.5,16
DiA78qPtp6rfRNdomzjBbw,Joshan Filipino Oriental Market,Southeast,6325 E Russell Rd,Las Vegas,NV,89122,36.0833844974,-115.033994983,3.5,17
YTqtM2WFhcMZGeAGA08Cfg,Mariscos Playa Escondida,Downtown,"1203 E Charleston Blvd, Ste 140",Las Vegas,NV,89104,36.159363,-115.135949,4.5,330
Oto60yDwk1z72WmfWEYrjg,Baja Miguel's,Southeast,"South Point Hotel & Casino, 9777 S Las Vegas Blvd",Las Vegas,NV,89183,36.0121912,-115.1739932,3.0,175
vMRWkz0wb3g4HjW_OeAppA,One Las Vegas Home Owners Association,Southeast,8255 Las Vegas Blvd S,Las Vegas,NV,89123,36.0398964,-115.1758223,4.5,3
dRAla9mt2a3-nF1D26VU2A,Cvs,Downtown,1812 E Charleston Blvd,Las Vegas,NV,89104,36.156985,-115.1247271,2.0,4
jzdIJnpn1_H6fgKNHFsSSg,Desert West Surgery,,"7200 Cathedral Rock Dr, Ste 250",Las Vegas,NV,89128,36.2058595,-115.2479948,4.0,4
mAK6DD0pEOOdQzj08gWW5g,AutoZone,Westside,9336 W Sahara Ave,Las Vegas,NV,89117,36.1464299161,-115.29900102,4.0,36
PFmB_iraAbTN9XMka7soqQ,Bella Smiles,Spring Valley,"6040 S Rainbow Blvd, Ste B2",Las Vegas,NV,89118,36.0790019,-115.2421993,5.0,109
_H2WDe7geFWVqUyWxMfQ3w,Prestige Portraits,Southeast,6185 Harrison Dr,Las Vegas,NV,89102,36.0773084,-115.1132848,1.0,14
81sJG9LJ9ahscSNBUYYUGw,New P2K salon,Chinatown,"5115 Spring Mountain Rd, Ste113",Las Vegas,NV,89146,36.1255374,-115.2112409,2.0,7
e-H6-qd340BwYTnlntYyJg,Karma and Luck at the Grand Canal Shoppes,Chinatown,3377 S Las Vegas Blvd,Las Vegas,NV,89109,36.1257805,-115.1837942,3.0,8
wCRMScBQJY8zES16j0Hn6Q,"Unity One, Inc",Southwest,9165 South Jones Blvd,Las Vegas,NV,89139,36.0232219,-115.2261097,3.5,7
XXcENxZvgy_DvuCVwC1vQQ,Concrete Accessories,Westside,3500 Meade Ave,Las Vegas,NV,89102,36.1367895,-115.1874558,5.0,6
UXUMRPkaW22aNV5C7e4Uvw,Welch Dentistry,Southwest,"10420 S Decatur Blvd, Ste 110",Las Vegas,NV,89141,36.0002611,-115.2066524,5.0,29
TeYdiBSLV_z2TXMfWtGncg,"Zahid Hamid,MD",Westside,"2600 S Rainbow Blvd, Ste 108",Las Vegas,NV,89146,36.1420198,-115.242236,3.5,6
vPO6DqPOBL5faHKYFNrRfA,Red Rock Window Tinting,Summerlin,"11700 W Charleston, Ste 170-488",Las Vegas,NV,89135,36.1600724,-115.350056,5.0,3
Gcv-LPo8EF_9EDBWt_4XmA,Friendly Hobbies,Northwest,3616 N Rancho Dr,Las Vegas,NV,89130,36.2258294035,-115.217181359,4.0,37
VAfgvEz3--36TiZMH8ZIIQ,Alcohol Educational Services,,"4710 W Dewey Dr, Ste 102",Las Vegas,NV,89118,36.0881514,-115.2053703,5.0,4
EMOm1OaQ8W1ptTGpwQa-JQ,CIA Customs,,"5580 S Decatur Blvd, Ste 109",Las Vegas,NV,89118,36.0889647,-115.2072805,4.5,13
z_h0kBcW9-c2084w_LguAQ,Al Phillips the Cleaner,,3250 W Ali Baba Ln,Las Vegas,NV,89118,36.0959959,-115.1849532,3.0,9
wnUayfTIBc_E9gNTylptTw,Film Monkey,The Strip,3565 Las Vegas Blvd S,Las Vegas,NV,89109,36.115527,-115.172274,1.0,34
mUk-0jToBuzk4KaDXp-uew,Taza Indian Kitchen,Southeast,9530 S Eastern Ave,Las Vegas,NV,89123,36.0165803,-115.1187014,3.0,17
pUefPUl0plnvk90r_00DOw,The Ritz of Las Vegas,Eastside,3360 E Flamingo Rd,Las Vegas,NV,89121,36.1163253,-115.1013758,3.5,11
1CP8aJa8ILlfM5deroar0Q,Wingstop,,5045 W Tropicana Ave,Las Vegas,NV,89103,36.1002514,-115.2098938,3.0,123
Ig6Zev2Eh-lXPwZVyQOi-A,City Wide Plumbing,,"3065 N Rancho Dr, Ste 142",Las Vegas,NV,89130,36.214669,-115.213107,4.5,13
gduTP-ujJ89tWOSdb3WMPA,Winchell's Donut House,Southwest,8110 W Warm Springs Rd,Las Vegas,NV,89113,36.0559407,-115.2680339,3.5,31
BwLIgDrI9mKgkS813m5mlA,Top Limo Las Vegas,Spring Valley,"6767 W Tropicana Ave, Ste 208",Las Vegas,NV,89103,36.099793,-115.239526,2.5,3
_wnAPt7ehpybzQptYKNHxQ,Village Pub & Poker,Spring Valley,5325 S Fort Apache Rd,Las Vegas,NV,89148,36.0920280894,-115.298216501,3.5,11
DIumS3PWQkWCj9PpSgbKSQ,Valenti Frank Tailor,Southeast,"3614 E Sunset Rd, Ste 100",Las Vegas,NV,89120,36.0720375,-115.0960831,2.5,3
ZGqg8QpWN89PyTOfF-LP6A,BeYoutiful Spa Las Vegas,Southeast,"6345 S Pecos Rd, Ste 105",Las Vegas,NV,89120,36.0749044,-115.1012788,4.5,8
TYGVaav4hWZioQlk9Ig78A,Cody's Smokin' Barbecue,Downtown,1675 S Industrial Rd,Las Vegas,NV,89102,36.1510984,-115.1598044,4.5,70
Wbi-x-1Nbn6LFCMOSN6F5Q,Cafe Rio,Centennial,6575 N Decatur Blvd,Las Vegas,NV,89131,36.2794672,-115.2080128,2.5,189
W-3Sy3fy85mQdd0ZNFKIiw,Applebee's,Chinatown,3501 S Rainbow,Las Vegas,NV,89103,36.1252695702,-115.243588275,2.5,74
28s2GZYTehHb1ftgzzvKow,Trendsetters,,3310 S Nellis Blvd,Las Vegas,NV,89121,36.1284231,-115.0646565,5.0,3
8z6wRDPB3XgqFKV6IY5IrA,PostNet,Spring Valley,"10120 W Flamingo Rd, Ste 4",Las Vegas,NV,89147,36.1153231,-115.3132987,3.0,7
